country,region,date,retail,grocery,parks,transit
Indonesia,Jakarta,2021-06-16,-20,3,-42,-32
Indonesia,Jakarta,2021-06-17,-21,1,-42,-35
Indonesia,Jakarta,2021-06-18,-21,1,-40,-36
Indonesia,Jakarta,2021-06-19,-27,2,-49,-32
Indonesia,Jakarta,2021-06-20,-32,-7,-56,-35
Indonesia,Jakarta,2021-06-21,-25,2,-46,-38
Indonesia,Jakarta,2021-06-22,-26,3,-46,-40
Indonesia,Jakarta,2021-06-23,-28,0,-47,-42
Indonesia,Jakarta,2021-06-24,-28,0,-48,-43
Indonesia,Jakarta,2021-06-25,-25,7,-45,-44
Indonesia,Jakarta,2021-06-26,-32,5,-55,-39
Indonesia,Jakarta,2021-06-27,-38,-5,-64,-42
Indonesia,Jakarta,2021-06-28,-27,8,-49,-44
Indonesia,Jakarta,2021-06-29,-32,2,-54,-47
Indonesia,Jakarta,2021-06-30,-31,4,-54,-48
Indonesia,Jakarta,2021-07-01,-30,8,-51,-47
Indonesia,Jakarta,2021-07-02,-26,12,-47,-47
Indonesia,Jakarta,2021-07-03,-45,0,-63,-50
Indonesia,Jakarta,2021-07-04,-49,-7,-70,-52
Indonesia,Jakarta,2021-07-05,-40,0,-56,-54
Indonesia,Jakarta,2021-07-06,-43,-4,-58,-55
Indonesia,Jakarta,2021-07-07,-43,-5,-58,-56
Indonesia,Jakarta,2021-07-08,-43,-6,-56,-57
Indonesia,Jakarta,2021-07-09,-43,-5,-54,-58
Indonesia,Jakarta,2021-07-10,-49,-7,-65,-54
Indonesia,Jakarta,2021-07-11,-51,-14,-72,-55
Indonesia,Jakarta,2021-07-12,-43,-8,-56,-60
Indonesia,Jakarta,2021-07-13,-46,-12,-59,-60
Indonesia,Jakarta,2021-07-14,-45,-12,-59,-60
Indonesia,Jakarta,2021-07-15,-44,-10,-57,-60
Indonesia,Jakarta,2021-07-16,-43,-9,-55,-60
Indonesia,Jakarta,2021-07-17,-48,-8,-64,-55
Indonesia,Jakarta,2021-07-18,-50,-14,-71,-57
Indonesia,Jakarta,2021-07-19,-40,-2,-53,-57
Indonesia,Jakarta,2021-07-20,-55,-24,-65,-72
Indonesia,Jakarta,2021-07-21,-44,-9,-59,-58
Indonesia,Jakarta,2021-07-22,-43,-10,-56,-59
Indonesia,Jakarta,2021-07-23,-43,-10,-56,-59
Indonesia,Jakarta,2021-07-24,-47,-9,-63,-54
Indonesia,Jakarta,2021-07-25,-46,-9,-69,-54
Indonesia,Jakarta,2021-07-26,-38,-5,-54,-55
Indonesia,Jakarta,2021-07-27,-40,-7,-56,-56
Indonesia,Jakarta,2021-07-28,-38,-6,-55,-55
Indonesia,Jakarta,2021-07-29,-37,-5,-53,-55
Indonesia,Jakarta,2021-07-30,-35,0,-49,-54
Indonesia,Jakarta,2021-07-31,-39,1,-59,-49
Indonesia,Jakarta,2021-08-01,-42,-5,-67,-51
Indonesia,Jakarta,2021-08-02,-32,2,-51,-51
Indonesia,Jakarta,2021-08-03,-34,-1,-53,-51
Indonesia,Jakarta,2021-08-04,-34,-2,-52,-51
Indonesia,Jakarta,2021-08-05,-37,-6,-55,-51
Indonesia,Jakarta,2021-08-06,-31,2,-45,-51
Indonesia,Jakarta,2021-08-07,-36,2,-56,-46
Indonesia,Jakarta,2021-08-08,-39,-5,-63,-49
Indonesia,Jakarta,2021-08-09,-32,-2,-50,-50
Indonesia,Jakarta,2021-08-10,-35,-6,-55,-51
Indonesia,Jakarta,2021-08-11,-34,-5,-51,-60
Indonesia,Jakarta,2021-08-12,-30,-3,-50,-48
Indonesia,Jakarta,2021-08-13,-29,-1,-45,-48
Indonesia,Jakarta,2021-08-14,-33,0,-54,-43
Indonesia,Jakarta,2021-08-15,-36,-6,-60,-46
Indonesia,Jakarta,2021-08-16,-27,0,-47,-47
Indonesia,Jakarta,2021-08-17,-37,-13,-48,-61
Indonesia,Jakarta,2021-08-18,-32,-6,-51,-47
Indonesia,Jakarta,2021-08-19,-31,-6,-49,-49
Indonesia,Jakarta,2021-08-20,-28,-2,-44,-48
Indonesia,Jakarta,2021-08-21,-31,-1,-52,-43
Indonesia,Jakarta,2021-08-22,-34,-7,-57,-45
Indonesia,Jakarta,2021-08-23,-28,-4,-47,-47
Indonesia,Jakarta,2021-08-24,-30,-6,-50,-47
Indonesia,Jakarta,2021-08-25,-26,0,-48,-45
Indonesia,Jakarta,2021-08-26,-25,0,-45,-45
Indonesia,Jakarta,2021-08-27,-22,3,-41,-45
Indonesia,Jakarta,2021-08-28,-25,6,-46,-39
Indonesia,Jakarta,2021-08-29,-29,-2,-54,-42
Indonesia,Jakarta,2021-08-30,-23,2,-45,-43
Indonesia,Jakarta,2021-08-31,-24,5,-47,-43
Indonesia,Jakarta,2021-09-01,-21,8,-45,-41
Indonesia,Jakarta,2021-09-02,-20,7,-43,-42
Indonesia,Jakarta,2021-09-03,-18,8,-37,-41
Indonesia,Jakarta,2021-09-04,-21,9,-39,-35
Indonesia,Jakarta,2021-09-05,-24,3,-46,-38
Indonesia,Jakarta,2021-09-06,-21,4,-42,-41
Indonesia,Jakarta,2021-09-07,-24,-1,-46,-40
Indonesia,Jakarta,2021-09-08,-24,-3,-46,-40
Indonesia,Jakarta,2021-09-09,-20,4,-41,-39
Indonesia,Jakarta,2021-09-10,-17,6,-36,-39
Indonesia,Jakarta,2021-09-11,-21,6,-40,-33
Indonesia,Jakarta,2021-09-12,-25,0,-46,-36
Indonesia,Jakarta,2021-09-13,-21,1,-45,-39
Indonesia,Jakarta,2021-09-14,-28,-8,-55,-44
Indonesia,Jakarta,2021-09-15,-20,3,-43,-38
Indonesia,Jakarta,2021-09-16,-20,3,-41,-39
Indonesia,Jakarta,2021-09-17,-16,5,-35,-38
Indonesia,Jakarta,2021-09-18,-20,6,-37,-32
Indonesia,Jakarta,2021-09-19,-28,-5,-50,-36
Indonesia,Jakarta,2021-09-20,-20,4,-42,-38
Indonesia,Jakarta,2021-09-21,-22,-1,-44,-38
Indonesia,Jakarta,2021-09-22,-20,-1,-42,-39
Indonesia,Jakarta,2021-09-23,-19,1,-39,-38
Indonesia,Jakarta,2021-09-24,-15,6,-33,-37
Indonesia,Jakarta,2021-09-25,-16,9,-36,-29
Indonesia,Jakarta,2021-09-26,-20,1,-43,-32
Indonesia,Jakarta,2021-09-27,-18,4,-41,-37
Indonesia,Jakarta,2021-09-28,-18,5,-42,-37
Indonesia,Jakarta,2021-09-29,-17,5,-40,-36
Indonesia,Jakarta,2021-09-30,-15,10,-38,-34
Indonesia,Jakarta,2021-10-01,-9,16,-29,-33
Indonesia,Jakarta,2021-10-02,-11,17,-32,-24
Indonesia,Jakarta,2021-10-03,-13,11,-39,-25
Indonesia,Jakarta,2021-10-04,-17,5,-39,-34
Indonesia,Jakarta,2021-10-05,-15,9,-39,-33
Indonesia,Jakarta,2021-10-06,-15,6,-35,-32
Indonesia,Jakarta,2021-10-07,-13,7,-32,-32
Indonesia,Jakarta,2021-10-08,-10,9,-25,-31
Indonesia,Jakarta,2021-10-09,-12,12,-30,-24
Indonesia,Jakarta,2021-10-10,-14,8,-35,-24
Indonesia,Jakarta,2021-10-11,-16,4,-35,-33
Indonesia,Jakarta,2021-10-12,-16,4,-35,-33
Indonesia,Jakarta,2021-10-13,-15,4,-33,-32
Indonesia,Jakarta,2021-10-14,-15,5,-32,-33
Indonesia,Jakarta,2021-10-15,-12,8,-25,-31
Indonesia,Jakarta,2021-10-16,-15,8,-32,-23
Indonesia,Jakarta,2021-10-17,-18,3,-38,-26
Indonesia,Jakarta,2021-10-18,-27,-10,-46,-36
Indonesia,Jakarta,2021-10-19,-16,5,-35,-30
Indonesia,Jakarta,2021-10-20,-14,2,-19,-44
Indonesia,Jakarta,2021-10-21,-18,3,-31,-31
Indonesia,Jakarta,2021-10-22,-13,6,-24,-31
Indonesia,Jakarta,2021-10-23,-15,7,-24,-25
Indonesia,Jakarta,2021-10-24,-16,3,-27,-25
Indonesia,Jakarta,2021-10-25,-16,6,-32,-30
Indonesia,Jakarta,2021-10-26,-16,5,-32,-30
Indonesia,Jakarta,2021-10-27,-19,-3,-33,-31
Indonesia,Jakarta,2021-10-28,-14,8,-27,-31
Indonesia,Jakarta,2021-10-29,-6,15,-15,-27
Indonesia,Jakarta,2021-10-30,-11,12,-22,-21
Indonesia,Jakarta,2021-10-31,-10,13,-22,-19
Indonesia,Jakarta,2021-11-01,-16,5,-33,-30
Indonesia,Jakarta,2021-11-02,-12,12,-29,-28
Indonesia,Jakarta,2021-11-03,-12,9,-26,-27
Indonesia,Jakarta,2021-11-04,-12,8,-25,-28
Indonesia,Jakarta,2021-11-05,-6,12,-15,-27
Indonesia,Jakarta,2021-11-06,-7,14,-16,-18
Indonesia,Jakarta,2021-11-07,-19,-3,-35,-24
Indonesia,Jakarta,2021-11-08,-10,11,-22,-27
Indonesia,Jakarta,2021-11-09,-13,6,-26,-27
Indonesia,Jakarta,2021-11-10,-12,3,-25,-27
Indonesia,Jakarta,2021-11-11,-9,9,-20,-27
Indonesia,Jakarta,2021-11-12,-13,-1,-22,-28
Indonesia,Jakarta,2021-11-13,-15,3,-30,-23
Indonesia,Jakarta,2021-11-14,-8,10,-20,-19
Indonesia,Jakarta,2021-11-15,-12,6,-24,-28
Indonesia,Jakarta,2021-11-16,-12,5,-23,-27
Indonesia,Jakarta,2021-11-17,-11,5,-21,-27
Indonesia,Jakarta,2021-11-18,-10,6,-18,-28
Indonesia,Jakarta,2021-11-19,-7,8,-13,-26
Indonesia,Jakarta,2021-11-20,-13,5,-24,-22
Indonesia,Jakarta,2021-11-21,-10,6,-21,-20
Indonesia,Jakarta,2021-11-22,-12,6,-21,-26
Indonesia,Jakarta,2021-11-23,-14,2,-25,-28
Indonesia,Jakarta,2021-11-24,-12,5,-21,-27
Indonesia,Jakarta,2021-11-25,-11,7,-18,-26
Indonesia,Jakarta,2021-11-26,-10,5,-22,-26
Indonesia,Jakarta,2021-11-27,-10,11,-23,-18
Indonesia,Jakarta,2021-11-28,-10,8,-28,-19
Indonesia,Jakarta,2021-11-29,-8,14,-17,-25
Indonesia,Jakarta,2021-11-30,-9,14,-21,-25
Indonesia,Jakarta,2021-12-01,-6,18,-15,-23
Indonesia,Jakarta,2021-12-02,-6,17,-13,-24
Indonesia,Jakarta,2021-12-03,-1,18,-6,-22
Indonesia,Jakarta,2021-12-04,-8,13,-20,-16
Indonesia,Jakarta,2021-12-05,-10,8,-30,-16
Indonesia,Jakarta,2021-12-06,-14,2,-26,-26
Indonesia,Jakarta,2021-12-07,-13,8,-28,-28
Indonesia,Jakarta,2021-12-08,-6,11,-16,-23
Indonesia,Jakarta,2021-12-09,-7,9,-19,-25
Indonesia,Jakarta,2021-12-10,-1,15,-8,-23
Indonesia,Jakarta,2021-12-11,-8,11,-21,-16
Indonesia,Jakarta,2021-12-12,-4,12,-21,-14
Indonesia,Jakarta,2021-12-13,-7,11,-17,-25
Indonesia,Jakarta,2021-12-14,-10,7,-20,-25
Indonesia,Jakarta,2021-12-15,-6,9,-19,-23
Indonesia,Jakarta,2021-12-16,-7,7,-20,-24
Indonesia,Jakarta,2021-12-17,-2,13,-12,-23
Indonesia,Jakarta,2021-12-18,-8,9,-24,-18
Indonesia,Jakarta,2021-12-19,-3,11,-20,-14
Indonesia,Jakarta,2021-12-20,-9,5,-23,-25
Indonesia,Jakarta,2021-12-21,-9,7,-24,-24
Indonesia,Jakarta,2021-12-22,-4,11,-16,-22
Indonesia,Jakarta,2021-12-23,-8,5,-20,-23
Indonesia,Jakarta,2021-12-24,1,20,-6,-24
Indonesia,Jakarta,2021-12-25,-10,8,-16,-24
Indonesia,Jakarta,2021-12-26,-6,9,-21,-18
Indonesia,Jakarta,2021-12-27,-5,12,-14,-26
Indonesia,Jakarta,2021-12-28,-7,10,-16,-25
Indonesia,Jakarta,2021-12-29,-6,11,-15,-25
Indonesia,Jakarta,2021-12-30,-2,18,-9,-22
Indonesia,Jakarta,2021-12-31,2,34,4,-20
