preferences_1,preferences_2,budget
kapal,,229000
kapal,,389000
masjid,jembatan,2141500
patung,jembatan,547500
taman,waterpark,1586000
air,,975500
wisata,kebun,2195000
kebun,jalan,2283500
sejarah,,1729500
museum,budaya,2145000
air,jembatan,652000
kebun,,2441000
waterpark,,1761500
fasilitas,,1576500
rekreasi,patung,2395500
patung,,1342000
budaya,,1351000
waterpark,laut,2385000
budaya,masjid,915000
sejarah,pantai,2025500
air,pantai,2425500
wisata,museum,1215000
kota,,302500
patung,rekreasi,229000
jembatan,,600500
sejarah,waterpark,942500
kebun,fasilitas,1897000
jembatan,sejarah,604000
wisata,,35000
taman,kebun,974000
monumen,taman,542000
fasilitas,sejarah,2080500
pantai,,1832000
rekreasi,laut,1577500
rekreasi,sejarah,818500
patung,rekreasi,1831500
kota,patung,1433000
monumen,kapal,1774000
laut,,1908000
kebun,,804500
monumen,,1956500
kota,museum,170500
masjid,museum,1657000
air,,1306000
kota,,810000
kota,,1638000
fasilitas,,169500
monumen,,108000
jalan,,998000
fasilitas,,1843000
air,rekreasi,1922500
jalan,,792500
jembatan,,184500
kapal,kota,116500
laut,,2299500
jembatan,patung,1523000
kota,waterpark,96000
rekreasi,kebun,695500
fasilitas,,866000
patung,,326500
budaya,,1721500
monumen,,1070500
pantai,,1403500
monumen,,1416000
kota,laut,87500
kebun,kapal,200500
rekreasi,,658500
keluarga,fasilitas,875500
keluarga,,1069500
museum,monumen,1268500
patung,,1835500
jalan,,2425000
jembatan,,238500
rekreasi,,1473000
monumen,,1392000
keluarga,jembatan,1503000
rekreasi,masjid,1383500
waterpark,,1545500
museum,laut,446500
patung,,1901500
wisata,waterpark,897500
rekreasi,,567500
sejarah,taman,516500
sejarah,,1000000
patung,kebun,2427000
waterpark,masjid,782000
jembatan,,1534000
masjid,kota,1859500
keluarga,,623000
museum,pantai,201500
taman,jalan,191500
jalan,jembatan,278000
wisata,kebun,2083500
laut,sejarah,504500
keluarga,,1740000
waterpark,wisata,1464000
rekreasi,,1801000
kota,laut,2136500
sejarah,,1316500
laut,,186000
air,monumen,1249500
museum,,2181500
wisata,,2437000
museum,laut,2367500
masjid,,456500
pantai,masjid,712000
masjid,museum,1106500
fasilitas,,2130000
pantai,jembatan,1558500
jalan,,577000
taman,,25000
sejarah,keluarga,587000
masjid,,1684500
air,,214000
kebun,kapal,103000
laut,,1685500
laut,jembatan,2244000
taman,,1399500
pantai,,816000
keluarga,,1359500
laut,,1336500
waterpark,rekreasi,1095500
keluarga,waterpark,1791500
keluarga,,1163000
kebun,,2001000
waterpark,taman,145500
museum,,172500
taman,pantai,1001000
taman,,2263000
laut,masjid,675500
kapal,,1751500
rekreasi,kota,1774500
rekreasi,laut,2048000
budaya,,1885000
wisata,patung,1801500
keluarga,,866000
waterpark,,2039000
air,,1926500
patung,rekreasi,2026000
jembatan,kebun,1102500
laut,rekreasi,1402500
wisata,pantai,1141000
keluarga,,1828500
pantai,,1499000
keluarga,,652000
jembatan,museum,721500
jalan,,1852000
jalan,kebun,184000
waterpark,keluarga,1720000
monumen,jembatan,1443000
waterpark,,937500
kota,,2094500
kapal,laut,1101500
kapal,,1173500
museum,,1778500
monumen,masjid,2187000
fasilitas,,1747500
kota,,694500
jalan,budaya,1694500
museum,fasilitas,381500
jembatan,,1024000
rekreasi,,430000
kota,,1411500
kota,,980500
kota,jalan,185000
jalan,monumen,1716500
waterpark,,437500
kebun,,915500
kota,,1675000
keluarga,,867500
pantai,,823500
kapal,jembatan,2180000
masjid,jalan,1921500
museum,,2015500
patung,jalan,2218500
waterpark,,115000
laut,monumen,1704500
kapal,,1699500
kota,,2121000
kota,sejarah,1965000
jembatan,,2121500
kota,sejarah,1174000
keluarga,museum,1178000
air,kota,2292500
laut,air,28000
kota,keluarga,665500
masjid,wisata,2135000
kapal,waterpark,649500
taman,museum,678500
fasilitas,,450500
taman,jalan,702500
kapal,,1630500
sejarah,kapal,805000
waterpark,pantai,2081000
waterpark,,1951000
wisata,,1886000
waterpark,,475500
masjid,wisata,1030000
jalan,,1322500
kota,,327000
air,rekreasi,790500
fasilitas,,530500
air,fasilitas,435500
wisata,air,939500
taman,fasilitas,1358500
taman,,403000
rekreasi,,1927500
taman,,1716500
patung,,553500
jembatan,keluarga,1617500
rekreasi,,790000
taman,jembatan,1146500
keluarga,fasilitas,442500
keluarga,,2449500
sejarah,wisata,1657000
pantai,budaya,1540500
wisata,waterpark,2055000
pantai,,1441500
sejarah,masjid,1229000
wisata,,807000
waterpark,,1507500
rekreasi,,1566000
museum,,915500
air,rekreasi,869000
taman,,1592500
waterpark,,1156500
jalan,,858500
kebun,,1209000
keluarga,pantai,1462000
kota,rekreasi,12500
sejarah,,1479000
fasilitas,,691000
rekreasi,masjid,1792500
laut,rekreasi,838000
jembatan,keluarga,1335000
jembatan,,842500
jembatan,,1375500
rekreasi,fasilitas,654000
keluarga,kota,1777500
jalan,,452500
jembatan,,2291000
jalan,,2361500
patung,,462000
laut,wisata,32000
museum,masjid,1848500
kapal,kebun,1237000
museum,budaya,1280000
rekreasi,wisata,2381500
kota,,894000
budaya,masjid,1755500
kebun,,1513500
patung,,584000
kebun,waterpark,575500
air,,2410000
air,,2045000
kota,budaya,1640000
monumen,air,944000
taman,,12000
patung,,1071000
kebun,kota,2078500
laut,monumen,231000
wisata,pantai,605000
kebun,,395500
fasilitas,budaya,810000
laut,budaya,339000
masjid,,237500
fasilitas,,961000
fasilitas,,567000
jalan,air,646500
patung,pantai,1396000
keluarga,kebun,1953500
jembatan,kota,1819000
kapal,,1585000
kota,,1637500
waterpark,,1041500
air,,2164500
kota,museum,232000
kebun,,938500
fasilitas,rekreasi,562500
budaya,fasilitas,1754500
waterpark,keluarga,449500
patung,,999000
masjid,budaya,577000
fasilitas,,1240500
taman,masjid,1602000
rekreasi,,2144500
sejarah,,2051500
laut,fasilitas,509500
pantai,jalan,1722500
waterpark,,387000
budaya,,180000
museum,budaya,2252000
patung,keluarga,2085000
masjid,,1152500
kota,keluarga,1032500
air,,484000
kapal,taman,2117500
keluarga,jembatan,377500
sejarah,jembatan,1881000
air,,749500
keluarga,patung,85000
jembatan,,1886500
masjid,keluarga,762500
masjid,rekreasi,426000
jalan,laut,817000
sejarah,pantai,1958500
jalan,,2355500
monumen,,1796000
keluarga,,699000
sejarah,,93000
taman,museum,920500
laut,waterpark,482000
laut,masjid,41500
wisata,,1280000
pantai,wisata,1208000
masjid,fasilitas,2189000
museum,kota,28500
pantai,taman,1052500
masjid,,1518000
laut,taman,1673000
rekreasi,fasilitas,375500
kota,,2437000
air,,583000
jalan,budaya,522000
kebun,,69000
kebun,,2214500
taman,waterpark,763000
jalan,,75000
jalan,,205000
museum,,1091500
waterpark,,71500
laut,museum,1735500
taman,,2143500
jembatan,laut,1092500
budaya,,342000
air,sejarah,961000
rekreasi,jembatan,32000
pantai,,361500
waterpark,jembatan,1392500
waterpark,wisata,1744000
monumen,,565000
kota,laut,1216000
monumen,,958500
fasilitas,,883000
rekreasi,,2036500
waterpark,,1128000
taman,rekreasi,444500
laut,,1844000
monumen,masjid,2094000
museum,,1278000
keluarga,,1881000
fasilitas,patung,894500
laut,,533500
monumen,,1444500
taman,,693500
jembatan,,785500
kapal,taman,1061500
budaya,patung,1689000
rekreasi,,873500
kapal,jalan,1365000
masjid,,666500
monumen,fasilitas,1509000
patung,,898500
keluarga,budaya,466000
museum,kota,498500
museum,,470500
rekreasi,,1924500
kebun,rekreasi,2391500
kebun,fasilitas,1330500
patung,kota,1439500
kebun,,1610500
wisata,,1969000
budaya,,1874000
jembatan,wisata,1485000
sejarah,,1340000
air,,2093500
masjid,,695500
kapal,,1342000
patung,jembatan,613000
rekreasi,sejarah,1894000
fasilitas,waterpark,1947000
kota,,1056500
jalan,budaya,1343000
jalan,wisata,611000
waterpark,museum,1006000
waterpark,,2403000
museum,rekreasi,1632500
pantai,kota,2411500
museum,,2376500
keluarga,museum,568000
air,,1642000
jembatan,air,1004500
kebun,wisata,116000
kebun,,41000
laut,,475500
laut,pantai,246000
museum,kota,295500
kapal,pantai,1614000
keluarga,,988500
rekreasi,,1241000
pantai,,1012500
masjid,,1336500
keluarga,kebun,248500
monumen,keluarga,1475000
wisata,,2101000
keluarga,sejarah,669500
fasilitas,monumen,1911000
monumen,keluarga,1860000
jalan,,347500
monumen,wisata,291500
budaya,,290500
keluarga,air,2186500
sejarah,kapal,1646000
wisata,,1683500
masjid,fasilitas,2025500
museum,,443500
kebun,,1920500
kapal,,1815500
patung,,2076000
rekreasi,masjid,2126000
wisata,,1938500
keluarga,jembatan,1462000
waterpark,kapal,1289000
wisata,,1762500
waterpark,rekreasi,884500
waterpark,jembatan,240500
sejarah,budaya,1243500
fasilitas,,533500
patung,,893500
waterpark,jalan,850000
masjid,,1365000
museum,,1005500
kota,patung,1710500
air,,1343000
waterpark,,2345500
laut,,1036500
patung,jembatan,1671000
museum,,1790500
sejarah,,460500
patung,laut,876500
keluarga,,1988500
budaya,kota,280500
keluarga,jalan,1599500
laut,,1416000
fasilitas,wisata,594000
patung,wisata,2228000
keluarga,air,2266000
monumen,,502000
museum,,1557000
keluarga,taman,2309500
waterpark,,484000
air,,2071000
budaya,pantai,6500
budaya,kota,278500
rekreasi,,157000
sejarah,,2086500
kebun,jembatan,1520000
waterpark,,362500
pantai,,660500
kapal,,2223000
waterpark,,1110000
laut,jalan,189500
museum,,148500
keluarga,kota,145000
jembatan,rekreasi,2005000
monumen,kapal,1860500
kota,jalan,173000
kota,,2041000
wisata,fasilitas,1265000
kota,taman,1891000
keluarga,,2256500
monumen,,1662000
taman,jalan,2167000
waterpark,,1559000
sejarah,kota,2148500
air,kota,2130000
rekreasi,taman,1663000
taman,fasilitas,822000
taman,,515000
budaya,,696500
waterpark,budaya,1971500
air,patung,1988000
rekreasi,pantai,622500
taman,,607500
kota,monumen,1464500
laut,masjid,1787000
sejarah,air,682000
pantai,sejarah,691000
keluarga,monumen,913000
monumen,,2162000
air,,2165500
waterpark,,1357000
museum,,2150500
fasilitas,pantai,58500
pantai,,2080000
monumen,laut,412500
budaya,,1829000
kapal,kebun,639500
taman,museum,1819500
monumen,jembatan,650000
rekreasi,masjid,1888000
laut,,648000
keluarga,,1581500
sejarah,,2294500
pantai,,2157500
kota,budaya,1323000
museum,masjid,2031500
kota,,2425000
museum,,1955500
taman,masjid,1695000
keluarga,kota,1652500
taman,,1914500
waterpark,,1890000
wisata,waterpark,1132000
rekreasi,,1029000
laut,,166000
fasilitas,,1265500
wisata,,144500
fasilitas,,12000
kebun,kota,630000
laut,,944000
waterpark,patung,109500
waterpark,,1533500
budaya,sejarah,1740500
keluarga,air,1799500
museum,monumen,463500
fasilitas,jembatan,530000
fasilitas,,2432500
kebun,,640500
kota,,2119000
kapal,patung,489000
budaya,kapal,1009000
pantai,kota,1362500
wisata,kebun,2052500
sejarah,,1481500
wisata,,601500
monumen,keluarga,2124000
jembatan,waterpark,2077000
kebun,jalan,1015000
pantai,,125500
kota,air,2440500
jembatan,kebun,683500
air,wisata,1090500
waterpark,,1947000
wisata,,66000
kapal,,2362500
pantai,patung,1984000
laut,kebun,150500
laut,museum,1198500
kapal,,1079000
budaya,air,401500
pantai,patung,2306000
budaya,,2189000
jembatan,laut,1061500
waterpark,,2249000
museum,,624500
kapal,,369500
wisata,,1183000
fasilitas,laut,556500
kota,,2109500
pantai,monumen,966500
masjid,laut,70500
sejarah,,1165000
patung,,133000
taman,jembatan,1907500
kapal,laut,100000
wisata,patung,1654000
waterpark,pantai,1143500
monumen,museum,2340000
kota,sejarah,264000
patung,kebun,192500
kota,laut,1182500
monumen,pantai,347500
sejarah,keluarga,2244000
budaya,waterpark,281000
taman,,2265500
patung,monumen,1214500
sejarah,,1540000
patung,,833000
monumen,laut,2050500
budaya,,525500
taman,,1162000
sejarah,masjid,82000
taman,budaya,1265500
patung,monumen,534500
fasilitas,,1851500
masjid,,153000
jembatan,jalan,1519500
masjid,,400000
kebun,,679500
museum,kebun,860500
patung,museum,676500
masjid,waterpark,2422500
masjid,pantai,1487000
jembatan,museum,2362000
jembatan,pantai,1082000
air,,200000
wisata,jembatan,1527500
patung,,1885500
sejarah,waterpark,1956000
air,wisata,1485500
rekreasi,kebun,171000
laut,pantai,753000
monumen,,1058000
masjid,,622500
kota,budaya,658000
kota,,2144000
jembatan,kota,2134000
sejarah,pantai,948500
budaya,,2244000
jembatan,,1055500
laut,fasilitas,1383000
jembatan,jalan,1335500
laut,,2212500
kota,waterpark,86000
wisata,,1254000
jembatan,,1596500
fasilitas,jembatan,216000
museum,,2284500
pantai,,1108500
kota,jembatan,229000
keluarga,,916500
taman,monumen,2406000
laut,,643500
laut,jalan,2209500
kota,keluarga,1127500
masjid,,452500
keluarga,jembatan,159500
fasilitas,sejarah,1735500
jalan,,833000
wisata,,2028500
jalan,air,998500
patung,monumen,1018000
laut,museum,1415000
pantai,air,639500
laut,wisata,1938500
waterpark,,1941500
monumen,,1908000
budaya,keluarga,2237500
jalan,museum,412500
sejarah,,2342500
monumen,,1554000
keluarga,,55000
jalan,,311000
waterpark,,2291500
kota,,1960000
budaya,,935500
taman,,1920500
wisata,waterpark,1120500
wisata,kebun,1957000
museum,,520000
laut,,1153000
rekreasi,taman,1747500
pantai,,1652500
kebun,,619500
kapal,taman,1312000
monumen,pantai,932500
jalan,fasilitas,2201500
budaya,,2047500
rekreasi,,1593000
budaya,,678000
sejarah,,2313500
budaya,,1735500
patung,laut,1741500
air,,463000
taman,,1964000
jalan,,2420000
keluarga,wisata,952500
museum,,1446500
jalan,,147000
kota,laut,1006500
monumen,rekreasi,1664500
air,jembatan,392000
fasilitas,rekreasi,1667500
taman,,2428500
sejarah,keluarga,1831500
sejarah,,1817500
sejarah,,2411000
keluarga,kebun,93000
kota,,1136500
masjid,pantai,1980500
keluarga,masjid,625500
air,kapal,135500
patung,,879500
museum,wisata,1801500
jalan,,1830500
kapal,sejarah,1744000
pantai,,5000
kebun,,1484500
wisata,jembatan,1187500
pantai,,1819000
keluarga,jembatan,1429000
taman,museum,1893000
kota,,1340500
budaya,,959500
waterpark,,360000
kota,patung,1345500
monumen,sejarah,1042500
monumen,,800500
monumen,,1391500
rekreasi,,1459000
rekreasi,,1793500
taman,,2413000
keluarga,,729000
taman,,390000
jembatan,,1341000
museum,,1836500
kapal,sejarah,1285000
fasilitas,,2280500
kebun,,1702500
patung,,553000
waterpark,jembatan,1951500
jembatan,,2378000
rekreasi,waterpark,732500
kebun,fasilitas,586500
budaya,jembatan,1525500
museum,,2106500
kapal,,1136000
kapal,,1270500
rekreasi,,1277500
laut,,1542000
budaya,jembatan,1452000
kebun,,1466000
rekreasi,masjid,2286000
taman,,733500
pantai,jembatan,261000
budaya,patung,1872000
taman,jalan,936000
masjid,sejarah,41500
air,wisata,1563500
wisata,,1056500
masjid,keluarga,759500
monumen,masjid,47500
wisata,,1597500
wisata,,733000
keluarga,patung,476500
kota,,1907000
masjid,waterpark,1272500
pantai,waterpark,1090000
sejarah,kota,544000
taman,,1916000
waterpark,,26500
patung,budaya,2005000
sejarah,taman,2294000
air,kebun,1728000
budaya,pantai,1289500
laut,wisata,1062500
museum,wisata,2043000
jalan,,1323500
fasilitas,keluarga,2003000
sejarah,,1626000
keluarga,,2205500
budaya,,257500
budaya,fasilitas,266000
taman,keluarga,1609000
jembatan,wisata,1253000
masjid,museum,1448000
laut,keluarga,51500
patung,jembatan,795000
rekreasi,,117000
waterpark,kapal,1884500
masjid,rekreasi,1840500
taman,,955000
jembatan,sejarah,2353000
fasilitas,,1821500
waterpark,,1866000
rekreasi,,1641500
fasilitas,,2226000
kapal,monumen,1377500
museum,,1128500
kebun,,2327500
waterpark,masjid,546500
wisata,patung,53500
rekreasi,,2040000
budaya,,2364000
fasilitas,,1001500
museum,kebun,2392000
kota,,57500
masjid,,1978500
budaya,,1246500
keluarga,kapal,253500
sejarah,kapal,2273000
kapal,,1329500
patung,,1516000
pantai,,76000
museum,fasilitas,2272500
museum,,1652500
waterpark,rekreasi,1358000
rekreasi,,1113500
waterpark,kota,2424500
museum,,2119500
waterpark,masjid,490000
fasilitas,,313000
fasilitas,,1023500
patung,,2256500
waterpark,,1578000
patung,rekreasi,418000
jalan,monumen,1703500
keluarga,jembatan,1188500
taman,fasilitas,346000
budaya,,2008000
kota,jalan,1014500
jalan,,699500
