preferences_1,preferences_2,budget
rekreasi,,234500
wisata,,153000
pura,alam,74000
pantai,,463000
pulau,,81500
laut,,417000
desa,,86500
ombak,pura,574000
rekreasi,air,257500
air,,88500
rekreasi,alam,400000
air,,72500
air,,74500
air,,274000
desa,taman,553000
budaya,air,23500
pantai,selatan,235500
batu,,32000
wisata,,126000
batu,,52500
rekreasi,selancar,125500
pasir,air,310500
budaya,,360000
ombak,,281000
indah,,139000
alam,,314000
selancar,wisata,225500
selancar,alam,331500
air,,227500
pantai,ombak,221000
kota,,52500
warga,kota,148000
warga,,353500
desa,pantai,287000
kota,,556500
taman,,475000
pantai,taman,447000
selancar,budaya,352500
pantai,pura,475500
selatan,alam,454000
taman,indah,73500
air,,468000
taman,,415500
alam,ombak,167500
pantai,,189000
desa,,230000
alam,pura,410500
taman,rekreasi,393000
wisatawan,,396000
taman,pura,354500
batu,,68000
batu,,493500
wisatawan,alam,530500
wisata,alam,278000
rekreasi,,573000
laut,kota,448500
desa,,489000
air,,180000
alam,,154500
wisatawan,pura,250500
laut,kota,565000
wisatawan,,56500
ombak,,545000
pulau,,207500
wisata,taman,266000
rekreasi,pantai,449000
air,pantai,240500
warga,pura,109000
pantai,alam,550500
kota,batu,286500
laut,,374000
selatan,batu,410500
air,,419500
selancar,,486000
batu,laut,486500
ombak,,269000
warga,wisatawan,350000
ombak,selancar,156500
pantai,,465000
pura,wisata,249000
pulau,warga,179500
taman,pantai,64000
pasir,,10000
selancar,,173000
rekreasi,air,439500
indah,,514500
ombak,,378000
kota,air,266500
ombak,,255500
kota,,425000
indah,,73000
selatan,pantai,493500
pura,,455000
rekreasi,pantai,345000
desa,,81000
kota,,346000
laut,,497500
air,,167500
pura,wisata,519000
taman,pulau,181000
budaya,,209000
pantai,selatan,106500
laut,desa,41500
taman,,148500
pantai,,309000
kota,pasir,429500
pasir,selatan,38500
budaya,wisatawan,54500
pulau,ombak,522000
indah,,368500
pasir,,536000
batu,,548000
warga,,532000
ombak,,397000
pura,indah,12000
desa,,131000
air,,186000
rekreasi,wisatawan,434000
laut,,321000
batu,,229500
rekreasi,,127500
selatan,budaya,101000
desa,wisatawan,35000
wisata,,508500
rekreasi,pantai,6500
pulau,,417500
batu,,91000
rekreasi,,442500
pantai,,465000
selancar,kota,564000
kota,,531000
indah,,10500
taman,,17000
kota,,97500
laut,,64000
wisata,taman,143500
batu,,52500
pura,,97500
budaya,selatan,423000
pura,laut,564500
taman,,426500
selancar,laut,15000
rekreasi,,389500
air,pasir,282500
pasir,rekreasi,254500
pasir,,513500
alam,pulau,290000
air,,207000
indah,,577000
pulau,selancar,158000
selancar,desa,65500
alam,,300000
laut,rekreasi,139000
taman,desa,537000
pulau,pura,202000
alam,selancar,512500
pulau,,526500
indah,,150500
warga,,138000
pantai,rekreasi,443000
kota,pura,161500
ombak,,479000
pantai,taman,195500
air,,226000
desa,,522500
batu,indah,562000
wisata,,457000
ombak,,155000
laut,air,337500
indah,wisatawan,526000
laut,,237000
pantai,kota,104000
batu,,29000
laut,,197500
air,rekreasi,527500
pulau,desa,166000
indah,,264500
indah,air,492500
batu,pasir,341500
wisatawan,,136000
pasir,,526000
budaya,wisata,350500
desa,,182500
indah,,25500
wisata,batu,251500
air,,263000
selatan,air,128500
wisata,selatan,120500
pura,,542000
kota,taman,546000
wisata,,528000
wisata,indah,235500
warga,,421500
alam,budaya,284500
ombak,,531000
air,kota,23500
indah,rekreasi,523500
ombak,,87000
ombak,rekreasi,498500
budaya,,230000
rekreasi,,152500
ombak,,331000
ombak,alam,464000
pura,,310500
indah,,574000
indah,,228000
wisatawan,,563000
selancar,ombak,438000
pasir,alam,203500
selatan,,227000
pantai,wisatawan,151500
alam,,502000
batu,laut,347000
pasir,,130500
wisata,,120000
ombak,selancar,313000
pasir,,167500
alam,,541500
taman,,33500
wisata,,251000
pasir,kota,412500
desa,,109500
batu,air,434000
wisata,,248500
rekreasi,pura,298500
selancar,,294500
selatan,indah,542000
pantai,,272000
selancar,pulau,408500
selatan,,130500
alam,,427000
pura,warga,60000
ombak,kota,211000
rekreasi,,106000
taman,ombak,54500
budaya,desa,352500
selatan,rekreasi,375500
air,,411000
air,wisata,18000
desa,,267500
wisata,,532500
alam,,297500
warga,rekreasi,50000
laut,,240500
alam,ombak,379500
alam,,214500
pulau,,456500
budaya,,541500
indah,rekreasi,429000
pasir,,144500
indah,taman,561000
ombak,,158000
pasir,warga,535000
kota,batu,182000
pasir,pantai,419500
laut,,336000
pantai,ombak,205500
air,warga,120500
air,,290000
laut,,137000
pantai,budaya,513000
selatan,,526000
batu,desa,26500
indah,selatan,27500
laut,wisatawan,373000
alam,laut,408500
laut,,382500
laut,wisatawan,86000
air,wisata,470000
indah,taman,122500
taman,,538000
taman,,66500
pantai,warga,552000
pasir,desa,424000
laut,,79500
wisata,,311500
pura,,396500
pura,,34000
indah,,76000
rekreasi,budaya,439000
pura,kota,79500
ombak,batu,299500
budaya,rekreasi,296000
air,,158500
pura,air,438500
pasir,pura,402500
laut,pasir,479000
pura,,3000
kota,pura,410500
kota,,509500
laut,,571000
kota,laut,574500
wisatawan,,376000
ombak,warga,160500
kota,,5500
wisata,indah,416500
budaya,taman,45000
rekreasi,,155500
indah,,378000
pasir,,209000
laut,,236500
selatan,indah,136500
selatan,budaya,29000
kota,indah,418500
rekreasi,batu,356000
batu,,345000
pantai,,338500
rekreasi,,466000
desa,,394500
budaya,ombak,377000
budaya,,240000
selatan,pulau,118500
pantai,,437500
selatan,pulau,6500
pantai,wisatawan,318000
pasir,wisata,531000
pulau,desa,192000
budaya,,105500
ombak,selatan,307500
air,warga,403500
wisatawan,,516500
budaya,,55500
indah,selancar,162000
pulau,,550500
taman,desa,26000
pulau,pasir,97000
kota,budaya,442500
pulau,,487500
pura,,111000
indah,,272000
pura,,143500
taman,,530500
selatan,,306000
pulau,wisata,65500
alam,wisatawan,152000
air,,78000
rekreasi,,242000
selatan,wisata,417000
alam,,564000
warga,alam,452500
warga,pulau,567500
pulau,,536500
selatan,,471000
batu,,140000
kota,,217000
budaya,warga,301500
desa,ombak,89000
pulau,,318000
wisata,,277500
selancar,desa,434000
pulau,,544500
pantai,,232000
selatan,,268000
wisatawan,,115000
wisata,taman,455000
indah,,237500
laut,pulau,95000
taman,warga,112500
wisata,alam,251000
pura,selancar,385500
warga,budaya,516000
budaya,batu,209000
wisatawan,kota,273500
pasir,,416500
desa,pura,390000
pasir,,229000
indah,wisatawan,225500
rekreasi,ombak,482500
kota,ombak,111000
wisatawan,pasir,405500
kota,,327500
desa,wisatawan,158000
budaya,,256000
pulau,,194000
alam,,51500
batu,wisatawan,297500
taman,,171500
kota,,332500
kota,,395000
rekreasi,,216000
kota,,290000
rekreasi,,174500
laut,taman,147000
selancar,air,533500
warga,,470000
selancar,,110000
pulau,pura,415500
selancar,budaya,123000
selancar,,235000
pura,,77000
taman,,312500
air,pulau,333500
pasir,taman,413500
wisata,,282000
selatan,taman,103500
kota,warga,204000
wisata,desa,158000
alam,taman,387000
rekreasi,,148000
budaya,pasir,112500
pura,desa,227500
kota,,218500
