preferences_1,preferences_2,budget
terjun,tebing,1388000
budaya,,1350000
air,pantai,229000
laut,wisata,1500
pulau,,333000
terjun,,546500
air,laut,1047000
pasir,tebing,1322500
sejarah,indah,1407000
laut,budaya,287000
laut,,1002500
terjun,,674000
wisata,indah,1001000
laut,destinasi,1228000
air,wisata,1388500
desa,pasir,184000
benteng,kota,409000
danau,,874500
danau,,505000
laut,pantai,1328000
terjun,,942500
tebing,,665000
sejarah,,146000
alam,gunung,908000
gunung,,1456000
desa,terjun,678000
laut,tebing,81000
sejarah,,1392500
teluk,pulau,149000
pulau,,1246000
pasir,desa,606000
benteng,,622000
kota,destinasi,1500
gunung,,350500
pantai,budaya,294500
alam,budaya,328000
tebing,laut,1032500
air,,447000
terjun,,263000
pantai,kota,1324000
alam,,1303500
pasir,danau,356000
teluk,budaya,998000
air,pantai,713000
teluk,,778500
kota,terjun,720000
tebing,,83000
terjun,,125500
kota,tebing,454500
wisata,danau,363500
pantai,,15500
indah,,713000
gunung,,158000
terjun,,1099000
desa,,1086500
laut,wisata,869500
desa,air,1014000
pulau,,490500
sejarah,,1376000
pulau,kota,582000
alam,desa,1330500
terjun,pasir,126000
kota,,850500
pulau,wisata,366000
alam,,531000
alam,tebing,927000
pulau,,1143500
tebing,benteng,649500
pasir,,1169500
air,laut,997500
desa,indah,434000
teluk,terjun,1242000
budaya,benteng,495500
benteng,,125000
gunung,,1074500
destinasi,,442500
budaya,tebing,760000
destinasi,,1108500
terjun,benteng,86500
kota,,714500
pasir,sejarah,595500
gunung,,1220500
wisata,,682500
laut,pasir,528500
sejarah,air,38000
laut,,434000
danau,alam,751000
alam,danau,1207500
destinasi,,748000
tebing,terjun,230500
alam,,457500
desa,gunung,404000
wisata,laut,1276500
destinasi,,1415000
benteng,wisata,290500
benteng,sejarah,1180500
air,,935000
desa,,1332500
benteng,,1203000
gunung,,112500
budaya,,1021000
laut,tebing,295000
benteng,gunung,540000
budaya,danau,577000
budaya,pulau,247000
pantai,,1461000
destinasi,,1404500
budaya,,561500
benteng,teluk,618500
gunung,wisata,497000
gunung,alam,414000
teluk,pantai,138000
desa,,557500
alam,laut,651500
wisata,terjun,74000
pulau,indah,1410000
pasir,,629500
benteng,,775000
terjun,,682000
sejarah,,817500
wisata,laut,1228000
teluk,,1144500
alam,sejarah,846500
terjun,desa,695000
benteng,gunung,149000
wisata,terjun,769000
benteng,,1320000
alam,pasir,121500
budaya,gunung,1430500
danau,laut,1231500
pulau,,116500
sejarah,,1422000
pantai,,107500
pasir,,1197500
pantai,air,6000
pantai,laut,462500
gunung,benteng,1144000
teluk,,1149500
wisata,pulau,569000
kota,,908500
gunung,,602000
gunung,,77500
teluk,,213000
kota,,636000
tebing,terjun,435000
gunung,,1020500
terjun,sejarah,805000
pasir,pulau,983000
indah,,422500
alam,,635500
indah,,1334000
pulau,,182500
air,,1021500
sejarah,,100500
gunung,,16500
indah,gunung,541500
wisata,pantai,453500
laut,air,1079000
destinasi,,1398000
tebing,,741000
terjun,laut,423000
wisata,pulau,724500
laut,indah,1019000
alam,,1334500
kota,pulau,972500
wisata,,542500
wisata,pantai,64000
sejarah,pulau,608000
sejarah,,750500
danau,teluk,1181500
terjun,,1257000
terjun,pasir,308500
air,,785000
teluk,,687000
pantai,tebing,1282000
terjun,wisata,123000
benteng,,807500
pasir,tebing,1123500
gunung,,1359500
air,pantai,963500
danau,indah,627000
wisata,,494500
tebing,budaya,1127500
indah,danau,119500
terjun,,701000
tebing,danau,943000
benteng,desa,1130000
sejarah,,1066000
benteng,destinasi,805500
pulau,terjun,23000
benteng,,118500
pasir,pantai,125000
kota,,1211000
pasir,alam,214500
alam,,918500
benteng,tebing,1204000
sejarah,,289500
indah,air,306500
desa,gunung,1153500
air,laut,1367000
terjun,pantai,3500
tebing,,502500
pasir,terjun,415500
tebing,alam,1411000
danau,,661000
terjun,budaya,509500
teluk,,1357000
pantai,,996000
desa,destinasi,449000
pulau,,254500
laut,,984500
teluk,,1293000
pasir,,144000
kota,desa,219000
sejarah,terjun,568000
terjun,desa,803000
terjun,pulau,847500
danau,benteng,751000
pantai,danau,850500
laut,,1292000
pantai,benteng,579500
benteng,desa,780500
indah,danau,624000
wisata,,379000
teluk,tebing,175500
air,,782500
kota,,351000
desa,benteng,1322500
teluk,,1079000
terjun,air,1035500
tebing,,176500
wisata,,1220500
air,indah,376000
teluk,,226500
indah,,435000
alam,,1028500
terjun,pantai,939500
sejarah,desa,638000
teluk,,1187000
benteng,,299000
sejarah,indah,777000
laut,,507000
budaya,,935000
benteng,,357000
pulau,,118500
tebing,,1059000
budaya,pulau,525500
destinasi,,1086000
wisata,,1288000
budaya,,692500
pantai,,1257000
pantai,,53500
desa,,402500
alam,kota,46500
tebing,,1355500
pantai,alam,1385000
wisata,terjun,1444000
sejarah,teluk,336000
wisata,danau,233000
terjun,,397000
air,,1259000
wisata,,940000
benteng,,586000
danau,budaya,1184000
pantai,,960000
tebing,sejarah,792000
gunung,,300500
kota,terjun,1191500
danau,,672500
kota,air,1066000
destinasi,pulau,291000
pulau,tebing,835000
desa,,559500
pulau,gunung,1411500
pulau,pantai,275000
tebing,pulau,1278000
wisata,,512500
tebing,,973000
gunung,,20000
terjun,,1002500
teluk,pulau,460500
teluk,,222500
terjun,,1000500
teluk,,564500
wisata,,72500
tebing,terjun,1344000
wisata,terjun,794500
air,terjun,1125000
tebing,,1233000
pasir,,906000
wisata,pulau,1222000
terjun,indah,578500
destinasi,desa,212000
terjun,,1439500
kota,pasir,756000
kota,,98500
gunung,,1288500
wisata,,1446000
benteng,tebing,1014500
kota,desa,1399000
terjun,,100500
indah,kota,761000
indah,,242000
pantai,alam,95000
tebing,,771500
wisata,air,1452000
sejarah,pantai,1352500
desa,,1404500
terjun,destinasi,972000
destinasi,kota,922500
benteng,kota,611000
budaya,laut,420000
alam,,57000
terjun,,1350000
benteng,pantai,216000
pasir,,470000
terjun,kota,1449000
air,pulau,1041500
laut,indah,46500
pantai,teluk,769500
pantai,,628000
danau,budaya,25500
desa,,216500
gunung,tebing,567500
sejarah,,718000
terjun,sejarah,1226000
sejarah,,85500
pasir,,1262000
air,,1155500
budaya,,77000
pantai,,1278000
alam,tebing,301500
pulau,,1250000
teluk,,169500
pasir,,897000
kota,,510500
sejarah,teluk,430500
terjun,,101500
kota,,878000
gunung,,982000
laut,,820000
terjun,pulau,822000
budaya,,183500
sejarah,laut,1024000
tebing,desa,714500
gunung,,1392500
terjun,,952000
terjun,,242000
indah,,448000
sejarah,,1179500
destinasi,sejarah,777500
pulau,tebing,341000
laut,air,867000
kota,,1410000
terjun,benteng,1190500
air,,948500
pantai,,51000
air,,317500
benteng,danau,228500
danau,teluk,1292000
pasir,,857000
terjun,,718000
terjun,,157500
laut,,1108000
terjun,,1330500
alam,benteng,112500
air,sejarah,452500
terjun,,196500
teluk,,802500
danau,,53000
alam,pulau,109500
terjun,pasir,807500
pulau,,64000
gunung,,744000
benteng,gunung,361500
danau,alam,886500
indah,,1414500
benteng,alam,566500
tebing,benteng,9000
danau,,1183500
budaya,,1358000
sejarah,pulau,280500
alam,danau,1023500
desa,,1246500
air,,877500
pulau,,260500
pantai,benteng,115500
alam,,550000
gunung,,147000
pantai,,254000
terjun,gunung,1021500
sejarah,,116500
teluk,,1412000
alam,gunung,859500
danau,pulau,1203500
gunung,,1461500
desa,,259000
kota,,546500
tebing,,1192500
sejarah,indah,72000
danau,teluk,1298000
terjun,,892000
danau,,678000
desa,,468000
kota,budaya,385000
laut,destinasi,91500
wisata,kota,1327500
gunung,kota,197000
wisata,indah,337000
alam,laut,322500
destinasi,,248000
tebing,laut,891500
terjun,,1053500
laut,,333500
destinasi,,27000
pasir,sejarah,817000
budaya,,761000
pulau,,414500
terjun,pasir,1045000
wisata,kota,1328500
benteng,,1200000
terjun,tebing,1412500
alam,budaya,429500
sejarah,pasir,1244500
pulau,pantai,578500
pasir,terjun,152500
indah,danau,199500
teluk,,165500
danau,indah,284500
pulau,teluk,1280000
budaya,,180000
indah,wisata,1351000
desa,pasir,1085500
pasir,,887000
pasir,,1160000
alam,kota,224500
tebing,,995000
benteng,terjun,462000
air,,1390500
alam,indah,779000
sejarah,benteng,1279000
air,destinasi,225500
danau,,715500
pantai,pasir,893000
danau,,200500
benteng,air,848500
teluk,pasir,794000
danau,terjun,210500
teluk,,32500
desa,air,943000
laut,,649500
pantai,,1377500
budaya,teluk,1229000
terjun,,833000
budaya,,494500
pantai,,62500
indah,,1137500
terjun,pulau,756000
destinasi,,250000
tebing,,770000
pantai,,463000
danau,,286500
laut,,588000
sejarah,,434000
alam,,32000
destinasi,tebing,498500
tebing,,569000
gunung,pasir,1218000
budaya,,1233500
terjun,,719000
air,destinasi,575000
teluk,,337000
teluk,,1042500
benteng,,752500
desa,,359000
gunung,pasir,990500
danau,,995000
kota,,231000
teluk,pasir,728500
pantai,,119500
pantai,sejarah,313000
pulau,,462000
benteng,air,1352000
kota,terjun,838500
gunung,terjun,1092000
benteng,,1200500
tebing,,87500
wisata,,1362500
pantai,,246500
pasir,,1396500
laut,,1403500
kota,air,1004000
pulau,terjun,1308000
teluk,,1292000
laut,sejarah,387500
desa,alam,494500
wisata,,1291500
budaya,,1329500
desa,tebing,157000
desa,,1104500
laut,,683000
sejarah,alam,246000
wisata,terjun,1002500
air,,1100000
budaya,,141000
destinasi,pasir,1297500
laut,gunung,332500
gunung,,1443000
tebing,,42000
pantai,,174000
terjun,,453500
tebing,terjun,326500
pulau,laut,473500
pulau,danau,1268000
indah,,1114500
danau,,122500
kota,sejarah,619500
terjun,,618000
teluk,danau,72500
indah,teluk,619000
pantai,alam,1290000
pasir,,732500
alam,,690500
terjun,sejarah,209000
kota,tebing,49500
alam,budaya,1357000
tebing,,68500
terjun,,172000
wisata,,183000
budaya,,1181500
kota,,719500
terjun,,167000
laut,,449000
terjun,danau,935000
terjun,pulau,688000
desa,,342000
desa,indah,160000
kota,indah,1295000
terjun,,169000
pasir,,819000
terjun,,162500
desa,,1207500
terjun,,84000
terjun,gunung,120500
benteng,pantai,1000
wisata,tebing,359500
budaya,terjun,492500
wisata,,1335000
gunung,danau,1417000
gunung,,896000
pantai,kota,1249500
pasir,,313000
destinasi,desa,105000
pantai,destinasi,1252000
pantai,,225000
wisata,terjun,1289000
teluk,benteng,113500
alam,pulau,234500
tebing,,743000
pantai,danau,315000
pasir,wisata,1364500
pantai,desa,1371000
tebing,,17000
indah,,944500
terjun,tebing,977500
teluk,,995500
tebing,terjun,22500
kota,,677000
teluk,,969500
destinasi,,538500
gunung,pulau,493500
destinasi,indah,759500
indah,gunung,1444000
gunung,,528000
sejarah,teluk,835500
pasir,destinasi,1232500
indah,danau,1422000
danau,,1316000
kota,teluk,993500
wisata,,473000
laut,indah,989000
gunung,,1111000
destinasi,,536500
pulau,benteng,1083000
desa,,1010000
alam,sejarah,1455500
pulau,,343000
sejarah,,794500
destinasi,tebing,1212000
kota,gunung,519500
sejarah,,1129000
danau,,6500
danau,pasir,192000
pantai,,725500
pasir,,704500
indah,,1366000
air,,1383500
danau,budaya,231500
wisata,,1431500
wisata,,197000
benteng,wisata,3000
air,benteng,1353000
kota,,1255500
benteng,,1340500
pulau,terjun,793500
laut,tebing,1381500
alam,,155500
teluk,terjun,1369500
gunung,,996000
desa,,347000
wisata,,1253000
desa,destinasi,962500
kota,danau,1229000
sejarah,wisata,433000
indah,wisata,1129000
wisata,,1159500
wisata,pantai,369500
alam,,177500
sejarah,budaya,1170500
wisata,destinasi,347000
terjun,,1286500
terjun,,686500
gunung,,1074500
desa,laut,414000
teluk,,499500
pantai,,647000
desa,,303500
desa,terjun,102500
terjun,wisata,423000
desa,sejarah,627500
benteng,,315500
indah,,283000
pulau,teluk,286500
terjun,,829500
tebing,pulau,718000
tebing,terjun,1337000
alam,pulau,402000
destinasi,,525000
terjun,,1209500
air,budaya,425500
indah,wisata,504500
tebing,,993500
laut,,615500
pasir,tebing,570500
terjun,,866500
destinasi,,1306000
indah,,1288000
indah,,161000
alam,terjun,251000
terjun,,1388000
teluk,,1179000
teluk,pasir,400000
terjun,,848000
alam,,1378500
danau,terjun,550000
sejarah,destinasi,1245500
benteng,,685500
benteng,budaya,862500
alam,,809500
desa,,630500
tebing,,1112000
kota,,1295500
sejarah,,304000
teluk,laut,453500
pulau,,1062500
pulau,,351500
desa,,724500
tebing,gunung,154500
teluk,,50000
gunung,,959500
wisata,kota,1170500
destinasi,air,352000
destinasi,,1046000
pasir,teluk,463000
alam,benteng,1427500
terjun,,183000
pulau,budaya,953500
danau,,861500
teluk,,1452000
alam,,1458000
destinasi,terjun,353500
budaya,,1234000
benteng,terjun,1439000
wisata,desa,105500
gunung,budaya,113500
destinasi,kota,863500
sejarah,desa,1157500
budaya,,129000
gunung,laut,759500
indah,,253500
wisata,budaya,301000
air,,578000
terjun,terjun,433500
wisata,,555500
terjun,laut,881000
terjun,terjun,655500
danau,sejarah,1179500
benteng,,428000
destinasi,,420500
budaya,,634000
benteng,sejarah,230000
wisata,,1200000
tebing,,729500
pasir,,1345000
laut,sejarah,1295000
benteng,,703500
indah,pulau,300500
alam,laut,1259500
pasir,,864500
terjun,air,794000
pasir,,336500
teluk,benteng,512000
sejarah,,246000
terjun,pasir,185500
danau,budaya,475000
desa,,788500
pasir,,143500
gunung,,1420500
wisata,,704000
kota,danau,662500
air,tebing,112500
kota,alam,452500
benteng,,746000
pasir,,1342500
tebing,,84500
sejarah,danau,1058000
teluk,,792000
indah,,270000
pasir,,109000
laut,desa,853500
tebing,budaya,228000
kota,,1176000
alam,,741500
terjun,,379500
pantai,,343000
alam,desa,749500
tebing,air,913500
danau,teluk,265000
benteng,desa,1157500
pasir,terjun,1225000
destinasi,laut,1080000
desa,sejarah,1322500
alam,,1215500
wisata,kota,389500
benteng,pantai,259500
pasir,,868500
teluk,desa,551500
air,sejarah,428000
gunung,pantai,349000
kota,tebing,687500
benteng,,579500
alam,,421000
teluk,,115000
destinasi,wisata,734000
teluk,desa,63500
pasir,terjun,353000
pulau,,1389000
laut,indah,804000
wisata,,32000
pantai,pasir,1067500
pasir,,1175000
kota,,736000
danau,budaya,417500
terjun,,711000
desa,terjun,1039500
indah,,361500
gunung,tebing,16500
terjun,benteng,500
alam,,1431000
danau,,224500
desa,destinasi,470500
air,desa,667500
kota,,1043000
laut,gunung,419000
air,,1443000
kota,desa,1326000
indah,,654500
pasir,,189000
laut,,359000
pasir,,1129000
wisata,,300500
indah,wisata,317500
air,,845500
terjun,pulau,1227500
wisata,,1324500
terjun,wisata,635500
budaya,indah,76000
indah,alam,1013000
air,,1182500
laut,gunung,732500
pantai,alam,381000
destinasi,,368000
indah,pasir,87000
benteng,,1247000
destinasi,,795000
alam,,860500
budaya,,1266000
tebing,terjun,1067000
indah,teluk,259000
air,,813000
air,kota,106000
laut,danau,889500
kota,pasir,482000
terjun,,929500
pulau,,326500
desa,alam,176500
wisata,,346500
teluk,,1174000
danau,,1277500
sejarah,pantai,419000
danau,budaya,764000
danau,,1327500
pantai,,1063500
destinasi,benteng,26000
indah,pantai,98500
pasir,danau,1445000
indah,,1301000
wisata,benteng,847000
pasir,,438500
gunung,,680000
tebing,destinasi,217000
air,laut,611000
teluk,pasir,700500
danau,pulau,1311000
laut,gunung,1146000
wisata,teluk,1268000
wisata,pantai,864000
pulau,destinasi,1163000
pantai,destinasi,758500
teluk,,978000
kota,laut,1134500
destinasi,terjun,432000
terjun,,334500
benteng,,897000
tebing,kota,805000
pulau,danau,36000
pulau,,1500
terjun,,319500
kota,desa,515500
budaya,destinasi,1319000
terjun,gunung,129500
alam,indah,992000
terjun,,466500
indah,kota,1376500
teluk,benteng,1342000
pantai,indah,1385000
pantai,,241500
kota,budaya,662500
budaya,alam,524500
indah,,431500
kota,,468500
sejarah,,690500
tebing,,913500
budaya,pantai,1244000
kota,desa,336000
teluk,,916500
pulau,,42000
terjun,,201000
terjun,,386500
tebing,sejarah,1234500
pasir,budaya,1337500
terjun,,1099000
desa,tebing,1268500
danau,alam,795500
alam,,766500
pantai,,1351000
