preferences_1,preferences_2,budget
indah,kawasan,1435500
jalan,,192500
curug,rekreasi,935500
seni,kolam,1257000
luas,,1984500
museum,,1131500
gedung,,3038500
wisata,,2211000
wisata,rekreasi,1327000
budaya,,2531000
curug,,890500
tinggi,air,2351000
batu,,787500
hutan,wisata,364000
taman,,2669000
alam,luas,2075500
air,,1876500
wisata,kolam,1182500
luas,,887500
gedung,,896500
budaya,hutan,2860500
museum,,1307000
alam,jalan,1305000
tinggi,,116500
seni,batu,955000
gunung,wisata,260500
seni,gunung,41000
batu,museum,2815500
hutan,tinggi,2095500
kota,,1417500
jalan,batu,2443500
kawasan,batu,337500
indah,,467000
luas,,140000
kolam,alam,1384000
kawasan,seni,2762500
jalan,seni,1705000
taman,air,2785000
rekreasi,,2260500
hutan,,1161500
batu,,2450000
taman,,1874000
taman,,2940500
batu,,2088500
taman,alam,1268000
alam,,858000
air,gunung,2273000
kolam,,2608500
wisata,luas,1520000
museum,gedung,781000
gunung,,80000
curug,,1802500
kolam,taman,1840000
taman,,2047000
seni,,3001000
rekreasi,taman,599000
indah,,1523000
gedung,,1568500
rekreasi,museum,1673000
seni,,2911500
luas,,2121000
curug,rekreasi,1900500
alam,,772500
seni,,746000
air,,1092500
kota,,1819500
gedung,wisata,563000
jalan,kota,2623000
air,,609000
curug,gunung,844500
luas,,674000
alam,luas,661000
museum,seni,571500
hutan,,2977500
tinggi,curug,1811500
kolam,budaya,2170500
curug,jalan,3015000
gedung,,1046500
luas,curug,2594000
kolam,,1650500
gunung,,2152000
hutan,,2314500
air,taman,2746000
jalan,luas,2257000
gedung,,1710500
luas,taman,974500
kolam,luas,2775500
wisata,,1596500
kolam,luas,1577000
hutan,budaya,1158500
luas,,2066500
kolam,,582500
kota,alam,2608000
indah,,1635500
gunung,kolam,140000
kolam,,1385500
batu,,94500
kota,,658500
gunung,curug,2052000
museum,jalan,2729500
luas,,2601500
rekreasi,,32000
gedung,,2988500
alam,hutan,2400500
indah,,1492500
wisata,museum,2549000
kota,wisata,2053000
tinggi,batu,2529000
rekreasi,,1638000
kota,,281000
tinggi,,2888000
kolam,seni,949000
batu,museum,1468000
rekreasi,air,1837000
hutan,gedung,2259000
batu,taman,790000
museum,budaya,2967000
museum,,1630000
gedung,gunung,2839000
alam,,2550000
kawasan,taman,1114000
kolam,gunung,2542500
tinggi,,1162500
budaya,,1596500
gedung,curug,1719000
wisata,,706000
indah,,2703000
curug,seni,197000
batu,,2761000
kawasan,wisata,771000
museum,gunung,1429500
kota,,2047500
jalan,,1026000
indah,,1767000
jalan,wisata,1719000
kawasan,wisata,806500
curug,,1199500
kolam,,1940000
taman,,1538500
luas,gedung,45000
wisata,,2577500
jalan,indah,1587500
kolam,seni,1598500
alam,jalan,1447500
wisata,,242500
gedung,,95000
rekreasi,kota,1525000
jalan,,157000
air,alam,901000
gedung,luas,975500
alam,,1136000
wisata,,522500
museum,,1941500
seni,budaya,2923000
budaya,rekreasi,1075500
kolam,air,2999000
kolam,gedung,2227000
tinggi,,1715000
taman,luas,2621000
tinggi,gunung,174500
museum,seni,1769000
jalan,,622000
seni,indah,318000
hutan,curug,2522000
hutan,,1319000
rekreasi,,1426000
kota,alam,127500
kota,,381500
indah,alam,874000
rekreasi,,934000
taman,gunung,843000
indah,,1947000
budaya,gedung,2690500
gunung,,734000
taman,seni,1580500
kota,hutan,2941500
taman,,663000
wisata,gunung,1196000
kolam,,1562500
budaya,,1646500
rekreasi,,1145000
hutan,gunung,1369500
gunung,indah,993500
tinggi,,29500
curug,seni,1243000
alam,wisata,2092000
tinggi,,921000
luas,indah,1116000
kolam,gedung,2982500
seni,,2322000
budaya,luas,1324000
indah,hutan,728000
kota,museum,2421000
batu,rekreasi,2137500
gunung,curug,962000
seni,rekreasi,182000
gunung,,2987000
luas,,416500
gedung,,721500
kolam,jalan,650500
curug,,59500
gunung,,1675000
kawasan,taman,507500
tinggi,kota,3023500
taman,,1019000
luas,curug,1208000
museum,,3010000
batu,,2224500
kawasan,gunung,2580500
kota,,305000
tinggi,air,2090000
tinggi,,1546500
hutan,indah,3053500
museum,,1560500
tinggi,kolam,1296500
gedung,rekreasi,1847000
kota,,330500
rekreasi,tinggi,1200000
gunung,,1241500
luas,kawasan,1012500
air,,1381500
rekreasi,indah,1135500
museum,,1175500
hutan,,2785500
air,,2840000
jalan,,561000
batu,,623500
kolam,,2504000
alam,,2551500
wisata,,1186000
taman,kawasan,930500
alam,air,2183500
wisata,,2274000
kolam,,1259000
air,,1676000
curug,budaya,2561000
gunung,,2956000
kota,hutan,2265500
alam,luas,477500
jalan,,288500
curug,,1211000
wisata,,102500
museum,kawasan,2791000
budaya,,472000
gunung,,331000
air,kota,531500
gunung,seni,2203000
wisata,seni,2617500
batu,kolam,772000
gedung,batu,305000
kolam,,2463500
curug,hutan,800500
batu,alam,1804500
curug,,1149000
jalan,luas,1923500
rekreasi,,525000
luas,alam,1291000
jalan,seni,513500
gedung,jalan,2968500
gedung,taman,548000
museum,batu,2461500
wisata,,822500
wisata,tinggi,125000
gunung,alam,1588000
hutan,,1654500
budaya,gunung,2113000
gunung,,2298500
kawasan,,934000
gunung,kota,568500
taman,gedung,1841000
kawasan,,3021500
rekreasi,,2097000
kolam,kawasan,981500
alam,tinggi,1172500
kota,,2103000
budaya,taman,97000
air,indah,2778500
curug,,1144000
museum,alam,2076000
jalan,air,2023500
budaya,,3070000
gedung,tinggi,1104000
kota,tinggi,661500
museum,,2054000
curug,kolam,2384500
hutan,,777500
tinggi,kawasan,2022000
jalan,kota,2961500
hutan,,648000
gedung,alam,1917000
budaya,kota,2779500
alam,rekreasi,42000
jalan,indah,302500
wisata,seni,1599500
taman,,1178000
gunung,,664000
seni,hutan,2414000
gunung,budaya,1232000
indah,jalan,1656500
indah,batu,1907000
museum,indah,2379500
hutan,tinggi,886500
budaya,,1779000
luas,taman,1687500
wisata,curug,1967500
rekreasi,jalan,1116500
taman,kota,2273000
air,,1660000
luas,hutan,2049000
seni,wisata,1746000
kolam,curug,1142500
gunung,,2531000
kolam,,1383000
air,,2450000
museum,,2110000
kolam,indah,1072500
curug,taman,1691500
alam,seni,2427500
budaya,kawasan,2176000
kawasan,alam,561000
kota,seni,1668000
seni,gunung,1891500
budaya,kolam,82000
indah,kota,280500
gedung,alam,1162500
seni,budaya,2208500
wisata,gedung,1363500
gunung,,2189500
batu,,1406000
curug,tinggi,1342000
taman,,2965000
luas,budaya,2683500
tinggi,kolam,1676500
curug,seni,1747000
jalan,rekreasi,476000
air,,1829500
hutan,,1500
kolam,,1726500
kota,,2097500
taman,seni,160000
hutan,jalan,2224000
kawasan,,1139000
seni,,2767500
tinggi,,2401500
luas,kota,727500
alam,indah,924000
rekreasi,kolam,1398000
kolam,alam,1639500
tinggi,museum,3020500
museum,,1013500
indah,,2261000
jalan,,868000
wisata,,175500
batu,curug,2563000
hutan,,1469500
luas,,158000
hutan,,374500
curug,batu,685000
kolam,,2145500
kawasan,,1439500
air,,2023000
kawasan,jalan,672000
air,,835500
rekreasi,,532500
air,,3080000
luas,,2238500
museum,indah,941500
rekreasi,tinggi,1331000
hutan,,993000
seni,indah,2121500
kota,budaya,1273000
seni,luas,2928500
museum,,2434000
taman,,481000
gedung,hutan,223000
batu,gunung,252500
indah,,2246500
wisata,,233500
indah,,1182500
kolam,gedung,180500
gedung,,414000
batu,,2382500
kota,taman,2605500
curug,,1585500
kota,,2062000
gedung,indah,676000
kota,,716000
hutan,,147000
kolam,rekreasi,443500
gunung,,2330000
luas,rekreasi,1723000
museum,gunung,3006500
tinggi,,870500
gedung,budaya,2417500
tinggi,,1066000
kawasan,,2149000
seni,alam,404500
gunung,,2298000
jalan,,2395000
curug,kota,2869000
luas,,282000
museum,hutan,281000
jalan,,747500
taman,,361500
rekreasi,,1197500
jalan,curug,2501500
kota,kawasan,784000
rekreasi,curug,1408500
tinggi,,996500
batu,,1339500
alam,,2738500
wisata,gedung,2420500
wisata,,2793500
luas,seni,847000
air,rekreasi,459500
alam,,2101500
gunung,seni,597500
alam,,2671500
batu,wisata,1294000
tinggi,seni,141500
hutan,,1052000
gunung,kolam,598000
kawasan,wisata,1703000
seni,rekreasi,2328500
museum,,1492500
seni,budaya,504000
wisata,,3089500
batu,kawasan,826000
museum,,519500
kawasan,,885500
wisata,kolam,662000
jalan,rekreasi,2479500
tinggi,luas,2619500
seni,,757500
wisata,,748000
budaya,,2560500
air,,924000
wisata,museum,804500
kota,kawasan,56500
jalan,kolam,556500
kolam,wisata,1287500
tinggi,,1847500
rekreasi,,1482500
museum,gunung,2962500
curug,taman,1373500
alam,kolam,2594500
gunung,,2990500
jalan,gunung,1270500
air,,2464500
wisata,kawasan,2876000
kawasan,tinggi,2312000
batu,,464500
kota,,226500
taman,hutan,917500
seni,alam,865000
taman,,3033500
rekreasi,batu,3074000
curug,jalan,372500
batu,,320500
alam,gunung,1709000
taman,air,1992000
air,tinggi,1433500
batu,gunung,457000
gedung,,812500
indah,,2897500
wisata,,2031000
seni,,1047000
indah,budaya,1503500
alam,gunung,2350500
alam,,2207000
kawasan,,1951000
air,,1242500
kawasan,museum,407000
kota,jalan,2986000
alam,,524000
wisata,curug,343000
batu,,2373000
hutan,taman,2619000
curug,kota,2303500
indah,,926000
kota,kolam,512500
kota,,2729500
indah,jalan,451000
seni,gunung,3007000
museum,,359000
museum,,1838000
curug,taman,2581000
gedung,curug,586500
wisata,,2726500
kota,luas,960500
gedung,wisata,2608000
gedung,rekreasi,1858500
alam,jalan,2225000
air,tinggi,562500
kota,,2609000
alam,jalan,986000
gedung,kota,3040000
batu,curug,2624000
taman,,2246000
rekreasi,,236000
batu,,1952000
jalan,,865000
kawasan,air,1027500
kawasan,museum,376000
curug,gedung,1094000
kota,,1042000
gedung,,1220000
indah,,2991000
kolam,gunung,672000
kawasan,,1840000
gunung,museum,674000
budaya,indah,2208000
air,indah,694000
seni,kawasan,2414000
hutan,,1718000
taman,,1695500
wisata,jalan,959500
tinggi,,1773000
kawasan,,1214000
tinggi,,2797500
taman,,2507000
gunung,,32500
alam,,2305500
museum,wisata,1336500
curug,,625500
jalan,rekreasi,3014500
rekreasi,curug,972000
wisata,,1025500
budaya,,814000
air,,3087000
batu,,1945500
wisata,,825500
curug,,589000
hutan,air,2035500
jalan,luas,226000
seni,,124000
museum,,869500
luas,batu,1272500
air,seni,2686000
gedung,,497000
gedung,,1944500
air,,2811500
seni,tinggi,301500
gunung,kota,1299000
luas,,2433000
gunung,,2558000
gedung,batu,1077500
rekreasi,,101500
tinggi,seni,2371500
gunung,rekreasi,760000
gedung,taman,2129000
seni,rekreasi,849000
seni,alam,460000
hutan,tinggi,1457000
wisata,curug,2699500
kawasan,museum,2065500
gunung,,2307500
tinggi,,334500
hutan,seni,1044500
museum,rekreasi,715500
museum,,1546500
kota,rekreasi,3045000
budaya,,1457500
wisata,tinggi,1800000
gunung,hutan,403500
alam,,2114500
seni,,310000
curug,kota,187000
museum,indah,2754500
tinggi,,2906000
kawasan,,629000
alam,curug,2822500
luas,tinggi,948500
gunung,,2091500
kolam,,1621500
taman,,3043000
seni,alam,2494500
budaya,kota,1675500
museum,air,2409000
luas,,2418000
curug,museum,1237500
alam,,2415000
kawasan,curug,85000
seni,wisata,2631500
curug,,755500
alam,,186500
tinggi,kota,1220000
indah,curug,1638000
hutan,,1000000
curug,,1339500
kolam,,2623500
rekreasi,,2797500
indah,,1973000
curug,,405500
indah,curug,1900000
kota,seni,2191000
kota,,1404000
seni,gedung,1970500
taman,kota,2886500
gedung,,280000
jalan,,1349500
museum,,2352500
air,kota,1724000
tinggi,batu,2812000
alam,batu,1938000
hutan,seni,2922000
alam,,2863000
air,,1988500
taman,gunung,2155000
luas,,272500
museum,gedung,2147500
air,indah,1653500
kawasan,gunung,826500
rekreasi,,515000
tinggi,,1796500
kolam,curug,1058500
tinggi,,1885000
rekreasi,,1166000
curug,indah,2083500
hutan,,1299500
kawasan,rekreasi,122500
tinggi,seni,2293500
seni,hutan,2130500
gunung,taman,2757500
air,,138500
taman,,1299500
museum,batu,1698500
seni,,1049500
tinggi,,2006000
museum,,1276500
museum,,1482000
kolam,,3082500
seni,gedung,1872000
museum,gunung,1918000
seni,,1605000
kota,,2534500
hutan,jalan,168000
kawasan,,938000
rekreasi,,2800000
museum,kota,1671500
curug,,436500
taman,wisata,1127500
alam,batu,1249500
museum,indah,2077500
luas,,1042500
luas,kawasan,1242500
museum,kawasan,2550000
kolam,alam,1301500
budaya,,444000
gedung,,2586000
batu,budaya,2599500
kolam,,898500
gedung,tinggi,1810500
alam,,623000
wisata,,114500
wisata,,1463000
luas,gunung,1024500
kolam,,2025500
alam,,1618500
rekreasi,air,338500
tinggi,kawasan,685500
rekreasi,taman,2119500
curug,,310000
taman,,1970500
museum,tinggi,184500
wisata,,2045000
taman,,1649000
museum,kolam,255000
rekreasi,,506500
gedung,,2967500
seni,gunung,154000
hutan,wisata,2413000
taman,,648500
tinggi,,1839500
hutan,,481500
curug,,362500
luas,gunung,633500
indah,tinggi,204500
kawasan,kota,725000
kawasan,jalan,975000
indah,rekreasi,1834000
hutan,,448000
kawasan,gunung,1692000
rekreasi,curug,1138000
gunung,kolam,3005000
rekreasi,,1032500
kolam,,2739000
indah,,1390500
wisata,,1247500
alam,kawasan,1617500
museum,tinggi,2402500
kawasan,gunung,1177500
tinggi,luas,2484500
luas,jalan,1510500
wisata,,3015500
hutan,,1927500
indah,,474500
budaya,jalan,412500
seni,,2493000
museum,curug,502000
taman,wisata,3040000
air,gedung,1275000
tinggi,,1285500
kota,curug,2644500
gedung,batu,2870500
tinggi,,591000
kawasan,alam,668000
gedung,kota,1665500
wisata,seni,1070000
air,,1138500
curug,,1397500
indah,,2560500
hutan,rekreasi,36500
air,,2730000
gunung,kolam,1251000
indah,budaya,913500
alam,,2027000
kawasan,,1138000
taman,budaya,488500
wisata,,1816500
wisata,,2316000
air,,367500
seni,,1894500
luas,,1657000
alam,seni,1543500
alam,,481500
batu,,162500
budaya,,2142500
museum,,999500
kawasan,kolam,722500
rekreasi,gunung,2964500
tinggi,kolam,1927500
indah,taman,2051000
wisata,,1354000
seni,,2912500
gedung,,1635000
tinggi,budaya,579500
seni,batu,681000
hutan,kawasan,514500
museum,indah,1964000
kota,,2871000
budaya,,624500
tinggi,museum,2612000
kolam,curug,234500
indah,budaya,1851500
seni,gunung,2650500
wisata,,1165000
rekreasi,,1011500
kota,,1048500
kawasan,rekreasi,2573500
luas,,1363000
curug,,616000
budaya,batu,693000
kolam,,2136000
seni,,1745000
hutan,kota,2147000
museum,rekreasi,1155500
curug,gedung,2130500
rekreasi,,905000
kota,,2178000
rekreasi,budaya,2887500
rekreasi,,2292500
curug,,670000
air,,2861000
kota,seni,418500
wisata,hutan,385000
budaya,wisata,1900500
taman,,765500
alam,,1245500
kawasan,rekreasi,297500
indah,,411500
wisata,,1018000
wisata,,1522500
hutan,air,471500
jalan,hutan,2074000
indah,,916000
hutan,,492500
gunung,batu,2128000
wisata,,706000
gunung,,586500
indah,,2619500
rekreasi,,908500
kawasan,curug,1763000
rekreasi,indah,1633500
rekreasi,museum,2626000
jalan,tinggi,577500
batu,,1337500
air,,2571500
