preferences_1,preferences_2,budget
alam,,237000
indah,sejarah,43500
air,alam,267000
pulau,sejarah,138500
wisatawan,,114000
jalan,pasar,131000
pusat,danau,186500
jalan,,248000
sejarah,,69000
rekreasi,laut,14000
sejarah,wahana,74500
kota,,213500
pulau,danau,370500
wahana,luas,252500
alam,,370500
taman,,338500
masyarakat,,32000
sejarah,,126000
laut,alam,72000
desa,kota,200500
jalan,air,299000
masyarakat,air,381000
rekreasi,pasar,298000
alam,taman,272500
pusat,rekreasi,238500
pusat,wisatawan,102500
wahana,pusat,328000
masyarakat,danau,133500
air,,288500
wisata,,325000
masyarakat,laut,87000
laut,masyarakat,325500
pusat,jalan,48000
alam,rekreasi,221500
pulau,,171000
wisata,luas,344500
taman,,257000
desa,indah,380500
masyarakat,wahana,125500
alam,wisata,293000
alam,,358500
alam,jalan,364000
masyarakat,,309500
pulau,wisatawan,67500
indah,,324000
pusat,pantai,227500
alam,sejarah,358000
luas,,292500
pusat,,136000
masyarakat,pasar,382000
laut,,359500
sejarah,pasar,361500
alam,,12000
laut,pusat,20500
wahana,,75500
pulau,pantai,85500
air,,167000
wisata,pulau,149000
pantai,,160000
taman,,339000
pulau,,40000
wisatawan,wahana,182500
rekreasi,wisata,82000
jalan,wisata,96500
masyarakat,,124500
air,jalan,224000
kota,indah,329500
air,,217500
desa,pasar,322500
pusat,kota,136000
rekreasi,indah,276500
desa,,258000
wisatawan,,381500
sejarah,,347000
luas,,341000
wahana,,208000
pulau,sejarah,144000
pulau,,193500
wahana,,43000
pulau,indah,204000
pantai,jalan,183000
desa,wisata,29000
jalan,,368500
wisata,,245000
wisata,,6500
wahana,masyarakat,333000
pantai,,370000
air,kota,371000
jalan,alam,97500
pasar,,362000
wahana,pulau,66000
jalan,,169000
pusat,desa,198000
danau,pasar,33500
indah,pulau,365500
pulau,sejarah,236000
taman,indah,256000
laut,pusat,187000
sejarah,,203500
wahana,,245500
wahana,,117000
masyarakat,,93500
pasar,luas,500
pusat,wahana,214500
pantai,,139500
kota,,269500
wisata,,316000
luas,taman,108500
laut,pantai,71000
pantai,wisatawan,131000
desa,luas,219500
wisatawan,,11000
masyarakat,indah,350500
rekreasi,,34500
pantai,,196000
danau,wahana,304000
sejarah,taman,21000
rekreasi,pasar,48500
masyarakat,luas,308500
pulau,luas,124500
sejarah,taman,187500
alam,,8000
kota,,97500
luas,kota,216500
danau,rekreasi,159000
kota,,38000
jalan,,175500
pulau,masyarakat,256500
pasar,,83000
wisata,indah,500
sejarah,taman,311000
laut,rekreasi,60000
wisata,,317500
laut,pasar,291500
sejarah,desa,288000
pantai,wisatawan,55500
alam,,4500
taman,,99000
indah,pulau,165500
indah,,48000
kota,pasar,219000
pantai,,185000
wahana,pulau,76000
luas,pulau,378500
wisata,,181500
masyarakat,pasar,176500
wisata,pasar,179000
pasar,,30000
luas,pasar,318500
laut,masyarakat,229500
alam,,143000
jalan,,77000
alam,,281500
wisata,,214000
desa,laut,354500
desa,,75500
wahana,,9500
pusat,masyarakat,379000
pusat,masyarakat,328000
pasar,kota,43500
wahana,,342500
pasar,,311000
pantai,,287000
laut,pulau,279000
pulau,pantai,378500
taman,,372500
pantai,,311000
pantai,pasar,212500
taman,,250500
desa,,58500
wahana,jalan,200000
laut,,97500
wisata,pusat,80500
kota,,134000
rekreasi,,23500
taman,air,349500
pantai,taman,87000
alam,,357500
masyarakat,,44000
air,,163500
danau,,38000
pusat,,214000
indah,,320000
pulau,wisata,151500
pasar,indah,71500
pusat,,228000
pasar,,368500
pasar,wahana,131500
wahana,,350500
alam,,111500
luas,,110000
kota,,197000
kota,wisatawan,176000
wisatawan,,77500
danau,,214000
masyarakat,pulau,11500
luas,,305000
jalan,pasar,291500
wahana,,8500
pusat,pasar,242500
wahana,luas,70500
pantai,,212000
air,,31000
jalan,sejarah,80500
indah,sejarah,227000
jalan,,47500
air,alam,54500
pulau,pasar,369500
wahana,,366500
rekreasi,,278000
air,taman,273000
air,,344500
kota,indah,2500
pulau,,159000
rekreasi,kota,64000
air,kota,47500
desa,masyarakat,350000
rekreasi,wisata,258500
sejarah,,341500
wisatawan,wisata,299500
taman,,117000
pasar,laut,379500
pasar,,180500
kota,,223000
pulau,pusat,181000
taman,,130500
sejarah,,17000
rekreasi,,209000
sejarah,alam,315500
pusat,alam,313500
wisata,,361000
danau,,299500
wahana,sejarah,298000
kota,,281000
alam,,338000
sejarah,pusat,338000
pulau,,80500
wisata,,197000
alam,,284500
indah,,289000
jalan,,313500
sejarah,jalan,318500
laut,,133500
wisata,,307000
laut,,347000
pulau,pasar,325500
indah,,4500
pulau,,324000
kota,,231500
pulau,sejarah,322000
wisatawan,pusat,195500
pusat,,204000
wahana,,377000
masyarakat,laut,117500
sejarah,desa,306500
sejarah,air,21500
wahana,,273000
luas,,206000
pulau,,31500
alam,,239000
indah,wisatawan,251500
luas,danau,236500
rekreasi,taman,139500
laut,kota,45500
wisatawan,,248000
luas,,108500
wisata,pulau,88500
pulau,air,101500
kota,,500
alam,indah,236000
wisatawan,,224000
kota,,382000
jalan,,22500
jalan,taman,50500
rekreasi,sejarah,379000
alam,,105500
laut,,79500
indah,air,298500
jalan,pusat,309500
indah,taman,66500
wisatawan,pantai,32000
air,wisata,278500
pusat,,282000
jalan,pasar,60500
pusat,taman,375000
masyarakat,desa,68500
rekreasi,,154500
luas,,363000
sejarah,,112500
taman,rekreasi,28500
jalan,luas,81500
pasar,,80000
desa,air,352000
indah,pusat,355000
sejarah,,374000
laut,alam,352500
masyarakat,,37500
pasar,,135000
air,,188000
wisata,air,365500
laut,,49000
taman,,182000
kota,alam,20000
indah,desa,293000
pusat,,286500
taman,,290500
wisatawan,masyarakat,359500
pusat,laut,291000
sejarah,kota,278000
pasar,,308500
alam,jalan,92000
danau,wisata,209500
pasar,,190500
wisatawan,masyarakat,225500
luas,wisatawan,229500
air,,193500
jalan,,18500
wahana,wisata,72500
sejarah,,313500
laut,luas,53000
pusat,,326000
pulau,taman,7000
wahana,,84000
pasar,,169500
wisatawan,,72000
luas,wahana,151500
pulau,,16000
luas,,276000
wisatawan,,343000
wisata,taman,109500
pusat,laut,119500
wisata,wisatawan,231500
danau,,287000
masyarakat,indah,165000
laut,masyarakat,215000
desa,wahana,41500
sejarah,,173000
pulau,,33000
sejarah,,354500
wahana,pulau,63500
rekreasi,,167500
laut,,31500
wisatawan,pusat,18000
pantai,,377000
air,,2500
alam,wisatawan,109500
kota,,145000
jalan,,193500
pantai,,128500
pantai,,137500
desa,,197500
danau,,192500
wahana,,97000
wahana,,159000
danau,wahana,204000
pasar,desa,163500
rekreasi,,189000
wahana,,250000
taman,,309000
laut,,261500
wisata,jalan,58500
rekreasi,,193500
air,,99500
pulau,,111500
alam,kota,355500
masyarakat,,147000
jalan,rekreasi,105500
luas,,373500
air,desa,347500
kota,rekreasi,164000
jalan,masyarakat,164500
indah,,112000
alam,,169000
desa,,375500
wisatawan,,4500
wahana,,28500
pantai,wisata,135500
jalan,sejarah,131500
desa,,362500
masyarakat,,309500
wisatawan,rekreasi,80000
sejarah,rekreasi,77000
laut,desa,362000
wahana,,341000
rekreasi,masyarakat,235000
wisata,,130500
air,wisatawan,275500
pantai,rekreasi,247000
wahana,laut,258500
indah,wisatawan,231000
pulau,,319000
pulau,pasar,334500
pusat,,291500
masyarakat,,109000
pasar,jalan,188000
masyarakat,,229500
luas,,51000
indah,,230500
kota,,68500
pulau,,344500
wisatawan,pusat,144500
rekreasi,wahana,307500
jalan,,69500
wahana,pusat,347000
kota,,218500
wahana,indah,272000
alam,,97500
pantai,,50500
pantai,,110500
laut,,103000
pusat,pantai,65500
kota,,88000
wisatawan,,315000
wisata,rekreasi,313500
wisata,,49000
wisatawan,pusat,18500
air,sejarah,4500
taman,,38000
pusat,wahana,32000
air,wahana,299000
pantai,,189000
luas,pantai,101000
indah,,140500
laut,,24000
rekreasi,pasar,180000
jalan,,140500
rekreasi,,339000
wisata,,123000
alam,air,30500
pusat,,92500
wisatawan,,272500
masyarakat,,44000
kota,,236500
laut,luas,69000
wisatawan,,156500
wahana,,303000
kota,air,106000
sejarah,,359000
pusat,pasar,365000
pasar,,278000
alam,desa,42000
alam,masyarakat,109500
danau,luas,313500
wahana,masyarakat,327000
sejarah,,118500
air,laut,138500
taman,,166000
wisatawan,,98500
pantai,,268000
sejarah,wisatawan,233500
air,wisata,43500
taman,wisatawan,351500
kota,wahana,22500
taman,,202500
kota,danau,43000
laut,,224000
air,laut,125000
alam,luas,334500
luas,wisatawan,343500
wahana,wisatawan,97000
masyarakat,,263000
danau,,106000
wisatawan,,30000
rekreasi,,142000
air,,287000
desa,air,374500
pulau,,35000
masyarakat,,216500
sejarah,rekreasi,301500
pasar,,296500
wisata,taman,191000
wisata,,152500
desa,pantai,181000
wisatawan,,37500
taman,,19000
jalan,indah,362500
danau,taman,159000
danau,jalan,296500
wahana,wisatawan,348500
desa,,16500
desa,,200000
air,rekreasi,298500
rekreasi,,173000
jalan,danau,196000
wisatawan,kota,309000
danau,,183500
indah,,365500
indah,,213000
pasar,laut,181000
pulau,luas,358000
laut,,80500
sejarah,laut,158500
alam,sejarah,304500
wahana,rekreasi,106000
wisatawan,,151500
danau,,91000
air,wahana,62500
masyarakat,laut,245000
rekreasi,,182000
wahana,,34000
sejarah,taman,304500
pusat,,298000
wisatawan,,270500
rekreasi,,231500
pulau,alam,116500
desa,,344500
indah,desa,106000
pulau,wisata,152500
indah,,33500
desa,,54000
pasar,,48000
indah,,43000
laut,,128500
wisata,wahana,298500
luas,jalan,50500
pasar,jalan,178500
wisatawan,,234000
pulau,,365000
kota,,239000
pasar,rekreasi,206000
pantai,sejarah,289000
rekreasi,alam,131000
alam,pantai,42500
masyarakat,luas,255000
alam,,140500
pusat,danau,272500
kota,taman,194500
rekreasi,pusat,139500
danau,,65500
wisatawan,wahana,217500
pusat,,119000
pulau,wisatawan,224000
pulau,,228500
pantai,danau,102000
kota,alam,131500
pasar,wisatawan,259000
pulau,,190000
pusat,masyarakat,266000
alam,wisata,181000
alam,luas,146000
pantai,rekreasi,367000
jalan,sejarah,27000
masyarakat,,189500
pasar,air,23000
indah,air,90000
jalan,kota,173000
jalan,danau,320500
air,,362000
alam,,230000
wisata,,316000
alam,,335000
pusat,,310000
pusat,,308500
indah,pulau,113000
taman,desa,135500
indah,pasar,31500
taman,,141500
masyarakat,pusat,257000
wisata,,53000
pusat,,18500
indah,,63500
jalan,,203000
laut,alam,6000
rekreasi,pantai,358000
wisatawan,,364500
air,wahana,373500
indah,,276500
taman,,172000
taman,,95500
masyarakat,jalan,272000
pantai,danau,304000
danau,air,96500
pasar,,318000
wisatawan,,239500
masyarakat,,7000
wahana,,204000
pusat,masyarakat,61000
desa,danau,26500
luas,,108000
luas,,139000
jalan,,67500
luas,,268500
masyarakat,jalan,261000
pantai,masyarakat,117000
pulau,,321000
pantai,,167500
sejarah,,62000
pantai,jalan,88000
pulau,danau,23000
laut,desa,239000
desa,,237000
luas,laut,301500
air,,56500
desa,,295500
wahana,,72000
indah,pasar,145000
pulau,danau,181500
laut,,138500
air,,175500
air,,191500
sejarah,,96000
wahana,,286000
pusat,,65000
desa,air,136500
masyarakat,wahana,11000
wisata,,92000
pantai,,353000
laut,,59500
air,,219500
indah,pantai,38500
indah,wisata,344500
wisata,,125500
wisata,,168500
desa,,174000
pulau,,67000
wisatawan,,71500
jalan,pasar,328000
pasar,sejarah,150500
jalan,,93500
rekreasi,,349000
rekreasi,sejarah,254500
laut,luas,349000
luas,,160500
wisatawan,danau,37500
jalan,masyarakat,285000
danau,jalan,47500
desa,,295500
pasar,,276500
air,danau,132500
laut,jalan,119000
rekreasi,,252500
taman,,165000
desa,indah,260000
masyarakat,pasar,165000
masyarakat,sejarah,72500
luas,kota,94500
wisata,rekreasi,342500
sejarah,,277500
rekreasi,luas,72500
indah,danau,337000
luas,alam,304500
wahana,taman,22000
pantai,,92000
wisata,,155500
jalan,pantai,196000
alam,,340000
air,wisata,280000
jalan,,145000
wahana,indah,307500
wisata,,313000
wahana,,160500
pulau,luas,80000
kota,jalan,111000
wisatawan,masyarakat,193000
air,,233000
indah,pasar,116000
wahana,masyarakat,376000
kota,,102500
pusat,desa,321000
alam,wisatawan,132500
air,,216500
jalan,wisatawan,302000
jalan,,227000
laut,,188500
laut,,305000
danau,alam,47500
desa,,356500
pulau,laut,127000
wisata,,235500
jalan,,148500
indah,,278500
pasar,laut,275000
pulau,,39000
pantai,,60000
desa,,275000
indah,,219000
pantai,wahana,52000
taman,,4500
rekreasi,,38000
kota,,370000
